,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2013,5363,20,147,792,133,120,2851,122,613,3416,110,555,644,118,2890,583,261,141,44443,337,833,90,384,728,43,88,1329,581,328,9784,1022,77,7077,4445,105,7053,10680,4631,2093,1073,2100,1633,5862,779,572,20,214,1333,1518,1442,279,243,74,1897,202,2799,820,309
2014,5509,17,156,778,131,121,2885,118,624,3464,114,568,662,131,2983,603,248,147,44626,336,828,97,397,738,39,80,1362,601,316,9664,1028,81,7193,4537,109,7101,10978,4624,2192,1065,2087,1630,5926,795,574,21,219,1416,1584,1462,284,248,68,1942,200,2808,836,309
2015,5508,20,160,799,131,110,2814,113,620,3588,111,550,669,133,3011,596,256,143,44470,426,834,99,393,704,38,72,1350,569,323,9737,1039,80,7315,4638,123,7074,10917,4740,2220,1074,2131,1618,5910,793,559,20,219,1444,1565,1520,274,252,68,1960,202,2855,824,300
2016,5570,20,147,785,142,115,2824,120,623,3719,110,571,669,130,2891,604,245,146,44799,359,837,98,394,748,45,68,1392,599,322,9759,1087,87,7353,4684,131,6893,10961,4996,2289,1083,2134,1688,5966,835,552,23,229,1508,1342,1567,277,259,68,1932,197,2787,843,305
2017,5593,19,147,776,139,112,2893,111,633,3804,100,579,652,112,2819,624,233,152,44115,368,835,103,416,777,45,71,1457,613,329,9930,1119,87,7030,4648,139,7522,10851,5101,2329,1109,2219,1669,6128,846,551,19,222,1568,1625,1664,281,260,74,1949,223,2819,844,303
2018,5481,18,151,776,138,109,2997,103,622,3956,102,572,660,129,2838,627,174,150,44335,394,835,103,413,796,47,76,1427,611,317,9957,1129,84,6837,4643,138,7474,10776,5013,2422,1163,2188,1634,6364,861,555,19,222,1536,1612,1676,291,265,69,1977,223,2825,856,300
2019,5433,21,162,739,159,113,2975,113,618,4019,111,593,634,130,2879,644,233,140,44181,392,829,105,413,801,48,78,1433,622,326,10012,1132,89,6995,4802,151,7463,10968,4979,2492,1177,2169,1716,6430,854,560,18,218,1551,1598,1694,287,256,77,2011,225,2832,868,302
2020,5482,20,159,754,172,116,2946,117,614,3977,102,598,640,131,2867,640,229,135,44117,409,829,102,374,815,50,85,1461,635,315,9903,1152,83,7081,4720,151,7408,10887,5077,2479,1168,2164,1730,6423,862,575,20,205,1584,1603,1677,288,248,76,2009,221,2833,834,318
2021,5481,21,154,740,170,117,2871,108,617,3976,98,585,659,105,2891,624,220,133,42080,518,820,104,368,838,52,83,1438,605,308,9716,1143,83,7126,4663,159,7308,10564,4851,2449,1158,2078,1702,6105,836,573,20,201,1571,1568,1662,286,228,64,1797,225,2787,792,298
2022,5469,20,151,723,165,120,2783,104,606,4000,100,576,667,125,2943,652,224,122,40708,531,793,111,369,851,51,83,1423,597,308,9689,1135,72,7281,4721,161,7440,10429,4505,2371,1170,1993,1639,5958,854,590,18,203,1553,1556,1680,274,238,65,1750,205,2808,834,312
