,county_name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,alameda,5363,5509,5508,5570,5593,5481,5433,5482,5481,5469
1,alpine,20,17,20,20,19,18,21,20,21,20
2,amador,147,156,160,147,147,151,162,159,154,151
3,butte,792,778,799,785,776,776,739,754,740,723
4,calaveras,133,131,131,142,139,138,159,172,170,165
5,colusa,120,121,110,115,112,109,113,116,117,120
6,contra costa,2851,2885,2814,2824,2893,2997,2975,2946,2871,2783
7,del norte,122,118,113,120,111,103,113,117,108,104
8,el dorado,613,624,620,623,633,622,618,614,617,606
9,fresno,3416,3464,3588,3719,3804,3956,4019,3977,3976,4000
10,glenn,110,114,111,110,100,102,111,102,98,100
11,humboldt,555,568,550,571,579,572,593,598,585,576
12,imperial,644,662,669,669,652,660,634,640,659,667
13,inyo,118,131,133,130,112,129,130,131,105,125
14,kern,2890,2983,3011,2891,2819,2838,2879,2867,2891,2943
15,kings,583,603,596,604,624,627,644,640,624,652
16,lake,261,248,256,245,233,174,233,229,220,224
17,lassen,141,147,143,146,152,150,140,135,133,122
18,los angeles,44443,44626,44470,44799,44115,44335,44181,44117,42080,40708
19,madera,337,336,426,359,368,394,392,409,518,531
20,marin,833,828,834,837,835,835,829,829,820,793
21,mariposa,90,97,99,98,103,103,105,102,104,111
22,mendocino,384,397,393,394,416,413,413,374,368,369
23,merced,728,738,704,748,777,796,801,815,838,851
24,modoc,43,39,38,45,45,47,48,50,52,51
25,mono,88,80,72,68,71,76,78,85,83,83
26,monterey,1329,1362,1350,1392,1457,1427,1433,1461,1438,1423
27,napa,581,601,569,599,613,611,622,635,605,597
28,nevada,328,316,323,322,329,317,326,315,308,308
29,orange,9784,9664,9737,9759,9930,9957,10012,9903,9716,9689
30,placer,1022,1028,1039,1087,1119,1129,1132,1152,1143,1135
31,plumas,77,81,80,87,87,84,89,83,83,72
32,riverside,7077,7193,7315,7353,7030,6837,6995,7081,7126,7281
33,sacramento,4445,4537,4638,4684,4648,4643,4802,4720,4663,4721
34,san benito,105,109,123,131,139,138,151,151,159,161
35,san bernardino,7053,7101,7074,6893,7522,7474,7463,7408,7308,7440
36,san diego,10680,10978,10917,10961,10851,10776,10968,10887,10564,10429
37,san francisco,4631,4624,4740,4996,5101,5013,4979,5077,4851,4505
38,san joaquin,2093,2192,2220,2289,2329,2422,2492,2479,2449,2371
39,san luis obispo,1073,1065,1074,1083,1109,1163,1177,1168,1158,1170
40,san mateo,2100,2087,2131,2134,2219,2188,2169,2164,2078,1993
41,santa barbara,1633,1630,1618,1688,1669,1634,1716,1730,1702,1639
42,santa clara,5862,5926,5910,5966,6128,6364,6430,6423,6105,5958
43,santa cruz,779,795,793,835,846,861,854,862,836,854
44,shasta,572,574,559,552,551,555,560,575,573,590
45,sierra,20,21,20,23,19,19,18,20,20,18
46,siskiyou,214,219,219,229,222,222,218,205,201,203
47,solano,1333,1416,1444,1508,1568,1536,1551,1584,1571,1553
48,sonoma,1518,1584,1565,1342,1625,1612,1598,1603,1568,1556
49,stanislaus,1442,1462,1520,1567,1664,1676,1694,1677,1662,1680
50,sutter,279,284,274,277,281,291,287,288,286,274
51,tehama,243,248,252,259,260,265,256,248,228,238
52,trinity,74,68,68,68,74,69,77,76,64,65
53,tulare,1897,1942,1960,1932,1949,1977,2011,2009,1797,1750
54,tuolumne,202,200,202,197,223,223,225,221,225,205
55,ventura,2799,2808,2855,2787,2819,2825,2832,2833,2787,2808
56,yolo,820,836,824,843,844,856,868,834,792,834
57,yuba,309,309,300,305,303,300,302,318,298,312
